83247,1668841391200,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page18,enter,0.0491,110,dieleidendesjungenwerthers-0a3ad;dieleidendesjungenwerthers-155f2;dieleidendesjungenwerthers-1e1c0;dieleidendesjungenwerthers-4ebc6;dieleidendesjungenwerthers-71a20;dieleidendesjungenwerthers-97769;dieleidendesjungenwerthers-9b233;dieleidendesjungenwerthers-a569f;dieleidendesjungenwerthers-f5222
83248,1668841438930,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page19,enter,0.0517,106,dieleidendesjungenwerthers-0df79;dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-56521;dieleidendesjungenwerthers-58358;dieleidendesjungenwerthers-c4143;dieleidendesjungenwerthers-f5222
83249,1668841483259,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page20,enter,0.0543,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83250,1668841510582,38139cd200f81ec055d781802cfd5eb2,DyILU,start,,enter,,0,
83251,1668841510612,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
83252,1668841510751,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page20,enter,0.0543,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83253,1668841512662,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page21,leave,0.0517,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83254,1668841536573,38139cd200f81ec055d781802cfd5eb2,NhAlN,reader_dieleidendesjungenwerthers,page21,reenter,0.0517,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83255,1668841546660,38139cd200f81ec055d781802cfd5eb2,NhAlN,start,,enter,,0,
83256,1668841546698,38139cd200f81ec055d781802cfd5eb2,NhAlN,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
83257,1668841546797,38139cd200f81ec055d781802cfd5eb2,NhAlN,reader_dieleidendesjungenwerthers,page20,enter,0.0543,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83258,1668841548202,38139cd200f81ec055d781802cfd5eb2,NhAlN,reader_dieleidendesjungenwerthers,page21,leave,0.0517,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83259,1668845022872,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page21,reenter,0.0517,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83260,1668845024970,38139cd200f81ec055d781802cfd5eb2,zKOPH,start,,enter,,0,
83261,1668845025000,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
