48898,1640872693333,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page106,enter,0.2255,188,hyperion-1-4-2-7-128;hyperion-1-4-2-7-129;hyperion-1-4-2-7-130
48903,1640872750318,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page107,enter,0.2277,203,hyperion-1-4-2-7-130;hyperion-1-4-2-8-2;hyperion-1-4-2-8-3
48907,1640872811242,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page108,enter,0.2298,156,hyperion-1-4-2-8-3;hyperion-1-4-2-8-4;hyperion-1-4-2-8-5
48914,1640872902271,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page109,enter,0.2319,171,hyperion-1-4-2-8-5;hyperion-1-4-2-8-6;hyperion-1-4-2-8-7
48915,1640872971858,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page110,enter,0.234,124,hyperion-1-4-2-8-7;hyperion-1-4-2-8-8
48919,1640873019083,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page111,enter,0.2362,201,hyperion-1-4-2-8-10;hyperion-1-4-2-8-9
48921,1640873059514,1f073dbe1af9e38313eb691f442879e5,TW96O,ueber-textauswahl,,enter,,0,
48922,1640873071456,1f073dbe1af9e38313eb691f442879e5,TW96O,home,,enter,,0,
48923,1640873074919,1f073dbe1af9e38313eb691f442879e5,TW96O,gluecksaufschlag-intro,,enter,,0,
48924,1640873102678,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page112,enter,0.2383,145,hyperion-1-4-2-8-10;hyperion-1-4-2-8-11
48925,1640873121059,1f073dbe1af9e38313eb691f442879e5,TW96O,home,,enter,,0,
48926,1640873122635,1f073dbe1af9e38313eb691f442879e5,TW96O,gluecksaufschlag-intro,,enter,,0,
48927,1640873128233,1f073dbe1af9e38313eb691f442879e5,TW96O,home,,enter,,0,
48928,1640873132786,1f073dbe1af9e38313eb691f442879e5,TW96O,fifty-saetze,,enter,,0,
48929,1640873137716,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
