7941,1647961223921,c5b55a69308618490128ef246822323e,vJjkH,titelblatt_dasstuttgarterhutzelmnnlein,,enter,dasstuttgarterhutzelmnnlein,0,
7942,1647961227668,c5b55a69308618490128ef246822323e,vJjkH,literaturmuseum_dasstuttgarterhutzelmnnlein,,enter,dasstuttgarterhutzelmnnlein,0,
7943,1647961232635,00c10ae468dec923c71471c284849b0d,fn6eO,home,,enter,,0,
7944,1647961235494,00c10ae468dec923c71471c284849b0d,fn6eO,zu-den-texten,,enter,,0,
7945,1647961238776,00c10ae468dec923c71471c284849b0d,fn6eO,titelblatt_goethesgedichte,,enter,goethesgedichte,0,
7946,1647961242829,00c10ae468dec923c71471c284849b0d,fn6eO,literaturmuseum_goethesgedichte,,enter,goethesgedichte,0,
7947,1647961287335,c5b55a69308618490128ef246822323e,vJjkH,titelblatt_dasstuttgarterhutzelmnnlein,,enter,dasstuttgarterhutzelmnnlein,0,
7948,1647967626260,dc2fd31775eb6819c5da76774950ba8e,tbdVw,reader_dergrneheinrich,,enter,dergrneheinrich,0,
7949,1647967626241,dc2fd31775eb6819c5da76774950ba8e,tbdVw,start,,enter,,0,
7950,1647973120616,499291d75aa16aff93d9c25d00d825cc,ZEpXO,start,,enter,,0,
7951,1647973144297,499291d75aa16aff93d9c25d00d825cc,ZEpXO,datenschutz-bestaetigen,,enter,,0,
7952,1647973155244,499291d75aa16aff93d9c25d00d825cc,ZEpXO,fragebogen,,enter,,0,
7953,1647973204322,499291d75aa16aff93d9c25d00d825cc,ZEpXO,home,,enter,,0,
7954,1647973212375,499291d75aa16aff93d9c25d00d825cc,ZEpXO,fifty-saetze,,enter,,0,
7955,1647973226683,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,,enter,antonreiser,0,
7956,1647973234288,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page50,enter,0.0562,220,antonreiser-0-1-1-1-1;antonreiser-0-1-2-1;antonreiser-0-1-2-2-1;antonreiser-0-1-2-2-141;antonreiser-0-1-2-2-142;antonreiser-0-1-2-2-143;antonreiser-0-1-2-2-2;antonreiser-0-1-2-2-4;antonreiser-0-1-2-2-5
7957,1647973265444,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,location,set,ort-3,0,
7958,1647973286446,499291d75aa16aff93d9c25d00d825cc,ZEpXO,second-menu,,enter,,0,
7959,1647973299567,499291d75aa16aff93d9c25d00d825cc,ZEpXO,warum-lesen-wir_antonreiser,,enter,antonreiser,0,
7960,1647973315486,499291d75aa16aff93d9c25d00d825cc,ZEpXO,second-menu,,enter,,0,
7961,1647973320188,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,,enter,antonreiser,0,
7962,1647973320830,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page50,enter,0.0562,106,antonreiser-0-1-2-2-141;antonreiser-0-1-2-2-142;antonreiser-0-1-2-2-143
7963,1647973343183,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page52,enter,0.0584,242,antonreiser-0-1-2-2-145;antonreiser-0-1-2-2-147;antonreiser-0-1-2-2-148
7964,1647973344303,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page51,enter,0.0573,242,antonreiser-0-1-2-2-145;antonreiser-0-1-2-2-147;antonreiser-0-1-2-2-148
7965,1647973344797,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page50,enter,0.0562,348,antonreiser-0-1-2-2-141;antonreiser-0-1-2-2-142;antonreiser-0-1-2-2-143;antonreiser-0-1-2-2-145;antonreiser-0-1-2-2-147;antonreiser-0-1-2-2-148
7966,1647973345132,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page49,enter,0.0551,331,antonreiser-0-1-2-2-138;antonreiser-0-1-2-2-139;antonreiser-0-1-2-2-140;antonreiser-0-1-2-2-141;antonreiser-0-1-2-2-142;antonreiser-0-1-2-2-143;antonreiser-0-1-2-2-145
7967,1647973345478,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page48,enter,0.054,373,antonreiser-0-1-2-2-136;antonreiser-0-1-2-2-137;antonreiser-0-1-2-2-138;antonreiser-0-1-2-2-139;antonreiser-0-1-2-2-140;antonreiser-0-1-2-2-141;antonreiser-0-1-2-2-142;antonreiser-0-1-2-2-143
7968,1647973345762,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page47,enter,0.0529,419,antonreiser-0-1-2-2-134;antonreiser-0-1-2-2-135;antonreiser-0-1-2-2-136;antonreiser-0-1-2-2-137;antonreiser-0-1-2-2-138;antonreiser-0-1-2-2-139;antonreiser-0-1-2-2-140
