162761,1737157282143,4e9c478f143e4fe05c7a229fe7ba39ac,UCJSk,reader_dieleidendesjungenwerthers,page1,enter,0.0068,87,dieleidendesjungenwerthers-54f9c;dieleidendesjungenwerthers-8500c;dieleidendesjungenwerthers-ae100;dieleidendesjungenwerthers-b1d6e;dieleidendesjungenwerthers-f0299
162811,1737162440598,7cca99778558848ec788231ba4c82700,nhRXz,titelblatt_dergrneheinrich,,enter,dergrneheinrich,0,
162812,1737162449561,7cca99778558848ec788231ba4c82700,nhRXz,zu-den-texten,,enter,,0,
162813,1737162450741,7cca99778558848ec788231ba4c82700,nhRXz,home,,enter,,0,
162814,1737162451694,7cca99778558848ec788231ba4c82700,nhRXz,zu-den-texten,,enter,,0,
162815,1737162452717,7cca99778558848ec788231ba4c82700,nhRXz,home,,enter,,0,
162816,1737162452911,7cca99778558848ec788231ba4c82700,nhRXz,fragebogen,,enter,,0,
162817,1737162453866,7cca99778558848ec788231ba4c82700,nhRXz,datenschutz-bestaetigen,,enter,,0,
162818,1737162454070,7cca99778558848ec788231ba4c82700,nhRXz,start,,enter,,0,
162819,1737162454081,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,,enter,dergrneheinrich,0,
162820,1737162454141,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,page6,enter,0.0024,89,dergrneheinrich-2f475;dergrneheinrich-37154;dergrneheinrich-90e1a
162821,1737162458786,7cca99778558848ec788231ba4c82700,nhRXz,start,,enter,,0,
162822,1737162458904,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,,enter,dergrneheinrich,0,
162823,1737162458944,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,page6,enter,0.0024,89,dergrneheinrich-2f475;dergrneheinrich-37154;dergrneheinrich-90e1a
162824,1737162459256,7cca99778558848ec788231ba4c82700,nhRXz,start,,enter,,0,
162825,1737162459374,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,,enter,dergrneheinrich,0,
162826,1737162459414,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,page6,enter,0.0024,89,dergrneheinrich-2f475;dergrneheinrich-37154;dergrneheinrich-90e1a
162827,1737162459447,7cca99778558848ec788231ba4c82700,nhRXz,start,,enter,,0,
162828,1737162459554,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,,enter,dergrneheinrich,0,
162829,1737162459592,7cca99778558848ec788231ba4c82700,nhRXz,reader_dergrneheinrich,page6,enter,0.0024,89,dergrneheinrich-2f475;dergrneheinrich-37154;dergrneheinrich-90e1a
162830,1737162474617,7cca99778558848ec788231ba4c82700,u4uYi,reader_dergrneheinrich,,enter,dergrneheinrich,0,
162831,1737162476090,7cca99778558848ec788231ba4c82700,u4uYi,reader_dergrneheinrich,page6,enter,0.0024,89,dergrneheinrich-2f475;dergrneheinrich-37154;dergrneheinrich-90e1a
162832,1737162477202,7cca99778558848ec788231ba4c82700,u4uYi,reader_dergrneheinrich,page7,enter,0.0027,82,dergrneheinrich-1619e;dergrneheinrich-23817;dergrneheinrich-89e68;dergrneheinrich-90e1a
162833,1737162492274,7cca99778558848ec788231ba4c82700,u4uYi,start,,enter,,0,
162834,1737162492415,7cca99778558848ec788231ba4c82700,u4uYi,reader_dergrneheinrich,,enter,dergrneheinrich,0,
162835,1737162492454,7cca99778558848ec788231ba4c82700,u4uYi,reader_dergrneheinrich,page7,enter,0.0027,82,dergrneheinrich-1619e;dergrneheinrich-23817;dergrneheinrich-89e68;dergrneheinrich-90e1a
162836,1737162493095,7cca99778558848ec788231ba4c82700,u4uYi,start,,enter,,0,
162837,1737162500888,7cca99778558848ec788231ba4c82700,jcUM0,home,,enter,,0,
