190587,1773219303655,5d4720f613578df0a232001b00d572cf,qpV1v,start,,enter,,0,
190588,1773219303725,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,,enter,effibriest,0,
190589,1773219304807,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page9,enter,0.029,247,effibriest-2c55e;effibriest-31aec;effibriest-441f1;effibriest-4a84d;effibriest-57a4b;effibriest-63bca;effibriest-682c3;effibriest-7230a;effibriest-7e967;effibriest-85781;effibriest-9b214;effibriest-a40dd;effibriest-be898;effibriest-cd9f0;effibriest-d6739;effibriest-d89f5;effibriest-db67c;effibriest-e0e07;effibriest-ee6db
190590,1773219311180,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page10,enter,0.0319,99,effibriest-4672f;effibriest-48c15;effibriest-4e2d2;effibriest-558eb;effibriest-954e7;effibriest-a1f9c;effibriest-a75d7;effibriest-db67c;effibriest-fc918
190591,1773219313368,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,location,close,reject,0,
190592,1773219313773,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page11,enter,0.0348,306,effibriest-0b8b4;effibriest-14466;effibriest-2e8cc;effibriest-3bdb4;effibriest-4bce5;effibriest-4fa9a;effibriest-588ea;effibriest-5b33c;effibriest-7624d;effibriest-7b940;effibriest-85174;effibriest-8ab68;effibriest-8c917;effibriest-8de1a;effibriest-92ad3;effibriest-93088;effibriest-98316;effibriest-b4af9;effibriest-d1cb9;effibriest-d608b;effibriest-d8400;effibriest-dae97;effibriest-e46a8;effibriest-f6b8d;effibriest-f8cfe
190593,1773219314917,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page12,enter,0.0377,286,effibriest-08f2b;effibriest-18478;effibriest-34e10;effibriest-77714;effibriest-7f8a3;effibriest-9077a;effibriest-98815;effibriest-a2c6f;effibriest-b3b71;effibriest-b56b7;effibriest-be4d8;effibriest-d8400;effibriest-e1908;effibriest-e8479;effibriest-f9372;effibriest-fa538
190594,1773219315319,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page13,enter,0.0406,297,effibriest-08f2b;effibriest-0903f;effibriest-0ed42;effibriest-2d7a3;effibriest-4fd3b;effibriest-6c6b7;effibriest-7f074;effibriest-8d589;effibriest-abd40;effibriest-b0069;effibriest-be5e3;effibriest-c369a;effibriest-cd825;effibriest-e5708;effibriest-f5c62;effibriest-f82d3;effibriest-f92b1;effibriest-fd947;effibriest-fed9c;effibriest-ffc87
190595,1773219315564,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page14,enter,0.0435,266,effibriest-1eefb;effibriest-2f600;effibriest-34bfb;effibriest-4a266;effibriest-4b956;effibriest-5ed54;effibriest-6e7b8;effibriest-704ca;effibriest-8063c;effibriest-89a5b;effibriest-a0674;effibriest-c643d;effibriest-e0ad8;effibriest-e2917;effibriest-ee9e7;effibriest-f5c62;effibriest-fa377;effibriest-fb8e1
190596,1773219315746,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page15,enter,0.0464,10,effibriest-34bfb
190597,1773219315933,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page16,enter,0.0493,343,effibriest-01ef3;effibriest-0b9c0;effibriest-0eedb;effibriest-379f2;effibriest-5acb6;effibriest-631b2;effibriest-659ba;effibriest-6a30b;effibriest-75686;effibriest-79ae5;effibriest-7b132;effibriest-7b75b;effibriest-851fa;effibriest-86fc0;effibriest-dcc8d;effibriest-f9f38
190598,1773219316130,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page17,enter,0.0522,275,effibriest-091de;effibriest-0eedb;effibriest-0f645;effibriest-37bfb;effibriest-3a198;effibriest-41d18;effibriest-476b3;effibriest-4a50e;effibriest-4ed23;effibriest-52320;effibriest-68807;effibriest-7c969;effibriest-8300f;effibriest-96545;effibriest-a0001;effibriest-a134b;effibriest-a93fc;effibriest-ab524;effibriest-af21a;effibriest-b9eaf;effibriest-c5c5b;effibriest-c8134;effibriest-d4717;effibriest-de856;effibriest-f118d;effibriest-f2111;effibriest-f4d7f
190599,1773219316309,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page18,enter,0.0551,260,effibriest-146ed;effibriest-1f9ff;effibriest-37aaa;effibriest-44f74;effibriest-4b313;effibriest-4b4e3;effibriest-55398;effibriest-5a001;effibriest-66dc3;effibriest-679b4;effibriest-68807;effibriest-7f313;effibriest-88418;effibriest-90582;effibriest-ac631;effibriest-d9252;effibriest-f2062;effibriest-f2323
190600,1773219316490,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page19,enter,0.058,316,effibriest-249cd;effibriest-281ac;effibriest-3d42e;effibriest-411a7;effibriest-6c662;effibriest-86b96;effibriest-a367f;effibriest-af949;effibriest-ba753;effibriest-cedb5;effibriest-db762;effibriest-f2062;effibriest-f2fbe;effibriest-f4586
190601,1773219316688,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page20,enter,0.0609,362,effibriest-1492e;effibriest-2a1ec;effibriest-3a612;effibriest-4b974;effibriest-85d03;effibriest-86b96;effibriest-986db;effibriest-ab85b;effibriest-c2002;effibriest-c59c6;effibriest-d1d99;effibriest-e9522
190602,1773219316901,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page21,enter,0.0638,222,effibriest-1c857;effibriest-7255b;effibriest-79a4f;effibriest-9a93b;effibriest-9b90e;effibriest-adaa4;effibriest-bd56f;effibriest-c59c6;effibriest-d2450;effibriest-e5084;effibriest-e5199;effibriest-ec5a0
190603,1773219317086,5d4720f613578df0a232001b00d572cf,qpV1v,reader_effibriest,page22,enter,0.0667,301,effibriest-161b2;effibriest-23204;effibriest-380b8;effibriest-4721a;effibriest-64a0d;effibriest-6c54b;effibriest-70671;effibriest-7071a;effibriest-75f8e;effibriest-764a6;effibriest-8edae;effibriest-91106;effibriest-a77c5;effibriest-aa72b;effibriest-c66e3;effibriest-c966b;effibriest-cac1f;effibriest-de850;effibriest-fb95d
